Count,REP_ID,REP_PLOT,SERIES_NUM,COUNTRY_CODE,BROAD_HABITAT,loi,year,DOM_GRAIN,SOIL_GROUP,CACO3_RANK,northing,easting,latitude,longitude,time,LandCover
0,1000X1,1000RPT20,1000,SCO,1,8.22708415985,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,787861.5,387210.375,56.9817708794,-2.2120543212,2007,10
1,1000X1,1000RPT20,1000,SCO,1,14.1825399399,1998,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,787861.5,387210.375,56.9817708794,-2.2120543212,1998,10
2,1000X1,1000RPT20,1000,SCO,1,5.0,1978,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,787861.5,387210.375,56.9817708794,-2.2120543212,1978,10
3,1000X2,1000RPT21,1000,SCO,4,6.19075202942,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,787842.375,387670.625,56.9816116959,-2.20448096306,2007,3
4,1000X2,1000RPT21,1000,SCO,4,6.0,1978,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,787842.375,387670.625,56.9816116959,-2.20448096306,1978,3
5,1000X2,1000RPT21,1000,SCO,4,6.09882211685,1998,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,787842.375,387670.625,56.9816116959,-2.20448096306,1998,3
6,1000X3,1000RPT38,1000,SCO,4,4.55501794815,1998,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,787406.8125,387257.5625,56.9776876465,-2.21125480681,1998,3
7,1000X3,1000RPT22,1000,SCO,4,5.66060209274,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,787406.8125,387257.5625,56.9776876465,-2.21125480681,2007,3
8,1000X4,1000RPT23,1000,SCO,4,5.34041213989,1998,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,787182.375,387598.78125,56.975680844,-2.20563028147,1998,3
9,1000X4,1000RPT23,1000,SCO,4,5.0,1978,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,787182.375,387598.78125,56.975680844,-2.20563028147,1978,3
10,1000X4,1000RPT23,1000,SCO,4,5.71599721909,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,787182.375,387598.78125,56.975680844,-2.20563028147,2007,3
11,1000X5,1000RPT24,1000,SCO,4,2.93775200844,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,787420.3125,387872.65625,56.9778256127,-2.20113652944,2007,3
12,1000X5,1000RPT24,1000,SCO,4,3.98735499382,1998,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,787420.3125,387872.65625,56.9778256127,-2.20113652944,1998,3
13,1012X1,1012RPT11,1012,SCO,8,3.23689389229,2007,GRAVEL,LIGHT TO MEDIUM,NONE,802849.625,297223.65625,57.1050863555,-3.69832073742,2007,13
14,1012X4,1012RPT14,1012,SCO,8,1.82301604748,2007,GRAVEL,LIGHT TO MEDIUM,NONE,802161.5625,297611.0,57.0989945683,-3.69164784949,2007,13
15,1012X5,1012RPT15,1012,SCO,8,2.09887194633,2007,GRAVEL,LIGHT TO MEDIUM,NONE,802354.0625,297851.1875,57.1007764865,-3.68776389841,2007,13
16,1015X1,1015RPT12,1015,SCO,1,18.4296207428,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,802808.125,342370.75,57.1125944596,-2.95316180083,2007,11
17,1015X1,1015RPT12,1015,SCO,1,20.0990009308,1998,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,802808.125,342370.75,57.1125944596,-2.95316180083,1998,11
18,1015X2,1015RPT13,1015,SCO,1,14.7043504715,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,802650.5,342295.8125,57.1111692901,-2.95436250985,2007,1
19,1015X3,1015RPT14,1015,SCO,12,11.7753095627,2007,UNKN,ALL,NONE,802598.9375,342705.34375,57.1107574558,-2.94759013847,2007,2
20,1015X4,1015RPT15,1015,SCO,10,22.5055294037,1998,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,802332.375,342791.875,57.1083740181,-2.94610065707,1998,11
21,1015X4,1015RPT15,1015,SCO,10,18.6154098511,2007,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,802332.375,342791.875,57.1083740181,-2.94610065707,2007,11
22,1015X5,1015RPT16,1015,SCO,10,17.2854804993,1998,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,802248.5,342191.6875,57.1075455043,-2.95598836922,1998,11
